RK order , space step , number of time steps , number of points, total time
1 , 0.1 , 10 , 1000 , 0.00700497627258
2 , 0.1 , 10 , 1000 , 0.0542120933533
3 , 0.1 , 10 , 1000 , 6.26799798012
1 , 0.05 , 10 , 8000 , 0.00927996635437
2 , 0.05 , 10 , 8000 , 1.4208650589
3 , 0.05 , 10 , 8000 , 49.6679480076
1 , 0.025 , 10 , 64000 , 0.0486249923706
2 , 0.025 , 10 , 64000 , 11.3139250278
3 , 0.025 , 10 , 64000 , 355.222545147
1 , 0.02 , 10 , 125000 , 0.0904400348663
2 , 0.02 , 10 , 125000 , 22.4128420353
3 , 0.02 , 10 , 125000 , 564.444546938
1 , 0.0125 , 10 , 512000 , 0.326905965805
2 , 0.0125 , 10 , 512000 , 89.4535989761
3 , 0.0125 , 10 , 512000 , 2222.51017904
1 , 0.01 , 10 , 1000000 , 0.662836790085
2 , 0.01 , 10 , 1000000 , 168.90814805
3 , 0.01 , 10 , 1000000 , 4410.78342891
