RK order , space step , number of time steps , number of points, total time
1 , 0.1 , 10 , 1000 , 0.00597214698792
2 , 0.1 , 10 , 1000 , 0.00850200653076
3 , 0.1 , 10 , 1000 , 0.11190700531
1 , 0.05 , 10 , 8000 , 0.00375294685364
2 , 0.05 , 10 , 8000 , 0.00863289833069
3 , 0.05 , 10 , 8000 , 0.165266036987
1 , 0.025 , 10 , 64000 , 0.00859403610229
2 , 0.025 , 10 , 64000 , 0.0324141979218
3 , 0.025 , 10 , 64000 , 0.496158838272
1 , 0.02 , 10 , 125000 , 0.00891590118408
2 , 0.02 , 10 , 125000 , 0.0326738357544
3 , 0.02 , 10 , 125000 , 0.770787000656
1 , 0.0125 , 10 , 512000 , 0.0177140235901
2 , 0.0125 , 10 , 512000 , 0.123419046402
3 , 0.0125 , 10 , 512000 , 3.70543384552
1 , 0.01 , 10 , 1000000 , 0.0385208129883
2 , 0.01 , 10 , 1000000 , 0.196431875229
3 , 0.01 , 10 , 1000000 , 6.02312397957
